pid,uid,parent_text
__1238513024555679746,__25202268,"Coronavirus: China 'has us by the throat.' Majority Of U.S. Drugs Manufactured Off-Shore #TheSaraCarterShow #newpodcast ""It's unacceptable that the Chinese have us by the throat and make 95 percent of our antibiotics,"" Dr. Ramin Oskoui via"
__1244145349981282304,__230239638,"Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They are used for bacterial infections only."
__1221443166970114054,__913039583582986240,"To those who say that antibiotics are useless against viruses--FYI: in case of so-called ""#coronavirus"" -this scheme helps. SHAME ON #WHO for this PR with ""Novel coronavirus 2019-nCo"" #WuhanPneumonia #WuhanOutbreak #WuhanCoronavirusOutbreak #Wuhan"
__1241057613556613120,__47435872,Antibiotics in case of Corona are only useful to prevent a deadly superinfection by germs.
__1235182433072541696,__288966846,Tuberculosis has a vaccine. People not getting access to the vaccine is a problem. COVID-19 does not have a vaccine. It does not respond to antibiotics. What do you think will happen if people who have TB catch COVID-19 as well...?
__1238275642816204800,__832773950492930049,"The virus 🦠 attacks the peripheral and lower lobes, where pneumonia can set in. If you’re symptomatic &amp; Covid19 testing is not available, insist on eval &amp; prophylactic treatment for pneumonia. Antibiotics won’t kill the virus only underlying pneumonia."
__1238151085166153728,__18581916,Coronavirus is a virus. Antibiotics treat bacterial infections. So they are not related.
__1233364955283566594,__15438913,Scientists claim antibiotics already on the market could treat coronavirus
__1233037701374529542,__3363915879,In the Sixties I read on the Readers Digest the alarm launched by America against the eccess of the use of antibiotics. Is this “corona” some virus self-modified killer made strongest by the useless eccessive use of antibiotics dear CDC?🤔
__1221440704905469952,__913039583582986240,"The appropriate antibiotics therapy, similar to the one used against plague pneumonia is effective against #WuhanPneumonia #coronavirus. PLUS tetracycline, the drug of choice for plague prophylaxis, is also effective for #WuhanCoronavirus prophylaxis."
__1222836586255175680,__958408514807967751,"You stated in the corona virus segment with Shannon &amp; Steve that antibiotic-treated meat is contributing to both viral mutation as well as affecting immune system ability to fight viruses, Leslie . That is not correct for the reason I referenced in my 2nd Tweet."
__1237871923159273472,__439682722,"I didn't say Antibiotics work for Coronavirus, I said they are necessary in the treatment of Pneumonia."
__1238391092392984576,__440377679,"Confusion has rocked #Zimbabwe on the proposed medical intervention in the event of confirmed coronavirus ,with Health minister Obadiah Moyo insisting on use of antiretroviral drugs, while health director Prosper Chonzi says they have agreed to use antibiotics."
__1239527355045031940,__2275337142,"Ground glass opacities are seen in viral pneumonia, and antibiotics would help only if bacterial super infection were present not for COVID-19"
__1240744724840845312,__1925000336,Covid-19 causes a bacteria infection so taking antibiotics is necessary. Its causes Pneumonia and that is literally bacteria fluid in your lungs.
__1241368323679571969,__26061966,"I don't understand this - AZITHROMYCIN is an antibiotic. Antibiotics are for treating bacterial infections NOT viral infections. #COVID-19 is a virus. Also, the french study is extremely small - 30 patients."
__1233904260695371778,__1589824147,So no its not a hoax. Corona is all over the world currently. And the only way to get better is thuggin it out or antibiotics. 1 confired killed casein washington. You just never know what could happen. Its perfectly fine for wide spread fear and calling it a hoax is unreasonable
__1241403814181253120,__808453,"Good news finally. After much cajoling, she was prescribed antibiotics and they have now let her into the dialysis center, in full COVID-19 regalia, to get her treatment. you all for your wishes and support."
__1222957125057597443,__243318995,Coronavirus pneumonia cannot be treated with antibiotics - Russia
__1222914840370413568,__218780765,"Plants don’t pass viruses on to humans. Animals DO. Stop consumption of mass slaughtered animals and stop passing on viruses like #coronavirus, which are so dangerous because all the antibiotics animals are on makes these viruses strong and resistant. Eat plants, save lives."
__1237317411248001024,__182117769,Can someone with a medical background explain why people with Coronavirus should not take antibiotics? I'm trying to explain it to my friends but lack the medical knowledge. #COVIDー19
__1243212134793785346,__15197262,"With news #Pangolins found to carry viruses related to #Coronavirus, time to ban wildlife markets, ban any hocus-pocus traditional chinese medicine involving wild animals too.And industrialised meat farming (inc in US) needs to stop over use of antibiotics"
__1242666476903043072,__58204026,"You are lucky, it was very unlikely to be Covid19. The pneumonia it causes, is viral, and thus antibiotics are useless. This is the reason people are dying, because there is very little that can be done to combat viral pneumonia - the immune system has to do it on it's own"
__1240744849470394368,__2970641021,All this corona shit and they not telling us what to take if we this we may have it... like antibiotics?
__1244740741508870146,__775897527707054081,"It probably for the issues that come with covid-19, such as pneumonia. Pneumonia is treated with antibiotics."
__1239597453671911424,__347978094,Myth number 3 Antibiotics can cure #Coronavirus... ??? #CoronavirusInPakistan #CoronaVirusPakistan #EhtiyatCorona #Pakistan #Pakistanis #Pakistani #Lahore #Islamabad #Karachi
__1244341837759787008,__822278598589485056,"There you have it, my friends. Quinine, Zinc and antibiotic will get rid off the coronavirus. Suddenly, there is no pandemic. However, we still have to deal with the Democrat virus; a more difficult virus to get rid off."
__1237324582710902784,__1220330315706765314,"If I'd been abroad I would honestly think I had the corona virus.I've been ill for 2 weeks, been on antibiotics for 5 days for a lung infection and just had to go back the docs who has given me more antibiotics. I am the walking dead. Terrible cough, feeling v.sorry for myself"
__1238287307096166401,__1186758680148094982,Question. do any of the standard antibiotics help slow the coronavirus at all Or perhaps give us some protection?
__1235307670351089665,__748844637641670656,Corona virus causes Pneumonia. It’s the pneumonia and related conditions that kill you. Pneumonia is caused by a bacterial infection. It is treated with antibiotics. Is there enough antibiotics to treat the projected 7 million people who will need it?
__1237463102708420609,__350199385,"Just for clarity, COVID-19 is a virus. Antibiotics don't kill viruses. Nevertheless, the exponential rate that it spreads, the extended period of asymptomatic contagiousness and the very high mortality and co-morbidity rates, are all very good reasons to be deeply concerned."
__1241393486236209154,__918302785011093504,"DonaldDunce tweeted that Azithromycin can cure COVID-19. Azithromycin is an antibiotic. Antibiotics cannot kill viruses. Thank you for coming to my ""things that are abso-bloody-lutely obvious"" talk."
__1235391169527525376,__546435868,"There is a flu shot and antibiotics to treat current strains of the flu. There’s *nothing* for coronavirus, that’s why people are so cautious"
__1242784188966805504,__1131914002114781184,"2of2 Chloroquine will NOT PREVENT anyone from catching covid-19. It enhances entry of zinc into cells. Zinc interferes with viral replication, thus assisting one's own immune system to defeat virus. I'll look up effect of any antibiotic, like ZPAC, against viruses. None, afaik."
__1235457364872044546,__1077533889940283393,"That was not ur point, u claimed testing for Corona helped avoid antibiotics. U can avoid antibiotics if u test for bacterial infections regardless of which virus caused it. How does viral testing add to this especially in an overwhelming scenario."
__1241536793788518400,__755207716541440000,I overheard someone say they were taking 'leftover antibiotics' (not a fucking thing if you're taking them correctly) once a day to stay safe from COVID-19 and I...
__1235304349242404870,__101338037,"Just my own thoughts As dettol have been advertising for years they know what kills the coronavirus, maybe they could help with the antibiotic as the must have done so extensive experiments already.... as I said just a thought"
__1242594259208941568,__1638302346,"Sooo, I just got news from home in GA that one of my older cousins (pushing 70) has all the coronavirus symptoms. Made it to the dr. They didn’t test him. Gave him some antibiotics and sent him on home. Is this the way this thing is handled if you aren’t rich or don’t hoop? 🤔"
__1230311374464733190,__15719232,“80% or even more of our antibiotics come from #China. So we're going to see some really severe shortages in this country.” discusses the impact of #coronavirus on American Thought Leaders 🇺🇸 Watch:
__1235626530560188416,__25801558,"Sure, though I don’t think this advice is “wash your hands after you shit” more than it is “wash your hands because everything is gross.” Though it’s important to note that antibiotics won’t do anything for coronavirus as it’s a virus, so they don’t apply in any case."
__1238680823148183552,__35860880,"That’s great. It looks like if one gets it, then it can be treated with antibiotics and the person can recover, but he/she will always have the coronavirus; it will just be managed...like the flu bug."
__1239315841025441793,__1161532300703784960,"Preventing Corona virus from entering the lungs. Also, nurses know to put triple antibiotic cream on Q tips and lubricate the insides of each nostril."
__1236928816913821697,__275799277,"In London for Cobra meeting, chaired by PM, dealing with UK response to COVID-19. Vital that all our frontline services are prepared &amp; fully resourced. REMEMBER: Antibiotics of no benefit against viruses. Wash your hands regularly. Help prevent flu &amp; other viruses spreading."
__1235911646725525509,__74141037,#askSkyNews cystic fibrosis patients need regular ivs in isolation how will wards cope with influx of patients our community r at risk and CF wards already struggle to cope. Also antibiotics our community need regularly are now being used for Coronavirus do we hv enough
__1220591548578050048,__544556476,"""So far, there is no known antibiotic to contain the transmission of #CoronaVirus, and it is indeed spreading far and wide""."
__1234943666411786241,__20562637,The US could face shortages of crucial medicines like antibiotics and a heart drug because of the coronavirus. Here's what you need to know.
__1239188081921667076,__524308359,but symptomatic immunocompromised patients like me can’t get tested or access to my usual hospital IV antibiotic treatment if it isn’t corona but my usual pneumonia... I’m scared why have they stopped protecting me? Ex NHS Ames Forces family I don’t deserve this
__1220819839159275520,__388708143,"🇨🇳 #Chinese #PIG farmers &amp; #factoryfarming use more than 60 percent of worlds #antibiotics which causes #antibiotics #Resistance a #pandemic in making. #China has no animal protection laws, Factory farms is global #healthrisk #WuhanPneumonia #WuhanCoronovirus #ChinaVirus ️"
__1240673259223429126,__96811467,"I keep saying people say this and I doubt it. I kept getting that nasty flu around Christmas times, I was given antibiotics for the pneumonia. If I get the COVID-19 pneumonia I have a 50% chance of surviving it because there’s no cure &amp; I suffer from awful respiratory illness"
__1244040285866295297,__827570456110702593,"In the past I've had pneumonia, my wife had a double pneumonia, we were treated with antibiotics even though the doctors said it was probably caused by the flu. They never tested us to find out which viruses it was. One word to explain this coronavirus's psychose: #Plandemic"
__1242406514125651968,__405177616,"It's odd that Covid19 is a ""VIRUS"" but is treated with an Immunosupressant/anti-parasite drug and an antibiotic ...not an anti-viral medication?? What is it really??"
__1242216441098768384,__217575608,"Can anyone explain if COVID-19 is bad case of Pneumonia and normal cases of it have the similar symptoms a cough, difficulty breathing, a high temperature and chest pain... why doesn’t antibiotics work????"
__1231909432117858305,__3293083093,"Thank you very much for your concern! Our world is always insecure: wars, disasters, viruses1 Coronavirus is treated like normal flu! And pneumonia - with antibiotics! Strengthen immunity and all diseases will pass you by! Health!"
__1235100517895778304,__953228661313826817,KRICT developed and found antibiotics for Corona Virus from antibiotics that were originally made for SARS and MERS.
__1237769149411135493,__859589220947472385,Man that corona virus ain’t got shit on my antibiotics from Mexico.. Square up we ready 🤣🤷‍️
__1241473139089031178,__819746004,Since it's an antibiotic and Covid19 is a viral disease I don't see how it can be used unless its treating secondary bacterial pneumonia. If that's the case another broad spectrum antibiotic would work just as well.
__1238327987940057088,__19929890,With markets in tumult how badly will economy be jolted by #Corona. That &amp; more basic questions like whether India should be worried about an Antibiotics shortage. The very informed takes all these questions on #Mojo. Full interview is up here
__1243754036328890369,__282704112,Ok so that was very scary. Amazing service from blue lighting me to Lancaster and taking me back home. So thankful I’ve only come away with antibiotics and not staying in hospital long term. Back home to recover. Thanks for kind words a a prayers. #COVID19
__1238166637934592001,__227257950,"Actually, I never said to use antibiotics to treat the virus. I said use antibiotics to treat the “symptoms”. For example, if someone has Covid-19 and it’s moved into their lungs, antibiotics many be the difference between life and death. The vaccine is closer to 12 months off"
__1241411488763580417,__295313391,The Chinese said the pneumonia ppl are getting from covid19 is not responding to antibiotics
__1233955968939184128,__1169715382971768833,"There wasn't any healthcare, we didn't even have penicillin or antibiotics. The treatment for LaGrippe aka Spanish Flu was frumenti aka whiskey from 1918 thru the early 20's. To compare the Coronavirus to LaGrippe is the dumbest thing I've read to date. Young HEALTHY people died."
__1237622552446427136,__17373081,"No joke, I’m starting 2 think coronavirus has been percolating in the US a lot longer than we think and the unbelievably nasty “bronchitis” I had in Jan that did not respond to antibiotics and steroids but ran its course was corona. Seriously. It was unlike anything I’ve ever had"
__1222769602951819266,__1035262224321970176,"Last opinion/point #coronavirus is pneumonia based well in 2017 someone in China got a antibiotic resistant strain of not 1 but all 3 of the pnemonia strains in one. if you have a antibiotic resistant bacteria, why not weaponize it... Huh?! #China ?"
__1236110988920926213,__931483602,Does taking antibiotics for a throat infection affect me in a negative way if exposed to the corona virus?#AskABC2020
__1233659337916047360,__2616394622,"If everyone took conventional antibiotics (to be safe from this #coronavirus) right now, I have this feeling that the stats would be much lower. First, it would boost the immune system and 2nd would pre kill the bacteria that the virus would feed on. That is the prevention &amp; cure"
__1239826990833819648,__1234136739301609472,Yes &amp; it is not antibiotics for corona viruse also Corona viruse is not a fever it's just a symptom
__1235577672735944704,__21192826,"Unbelievably scary... ""a staggering 97 percent of all antibiotics in the United States"" come from China. How did we let this happen? Ned Ryun: The Left’s Politicization of Coronavirus Backfires—Bigly"
__1242157046155313152,__865004396681207809,"Meanwhile in Venezuela... Maduro shares a recipe with lemon grass, pepper, ginger and honey as an antibiotic to fight coronavirus"
__1219335239702581248,__1190603787339272197,"#coronavirus I have refused antibiotics for every little sniffle, for over 35 years. I ride every virus out, with the help of 20 Echinaecia drops + 2 x 1000 Vitamin C fizzies combined in half a glass of water, twice daily. Simples, and darned effective!"
__1236358742846984193,__1193534629577478144,Likely the same people who are using hand sanitizer (an antibacterial) for coronavirus (a virus). Virus =/= bacteria. This helps create antibiotic-resistant strains.
__1238262851732733952,__784233300076425216,Just watched Tucker Carlson say China is holding back our antibiotics so that we can't heal from the coronavirus and then go on to say racism against pacific islanders isn't in the top 500 problems we have as a country theres just a lot going on right now
__1238873648410308608,__726133273,"WHO on COVID-19: Are antibiotics effective in preventing and treating the new coronavirus? , ,"
__1240988192163205122,__1039283168799584256,"Why Z packs, too? What would be the use of antibiotic with COVID19?"
__1232813687070756865,__3429945808,"Please do not take antibiotics just because you think you need them, that's exactly how you increase the chance for resistant bacteria emerging. Covid-19 is also a virus, to which antibiotics don't even work."
__1243812510525992963,__1661223246,"When 90% of our medical antibiotics and supplies come from a communist country, it is kind of hard to prepare beforehand. Also we couldn’t just stop air travel in and out of the country: Tell us what would you have done to prepare for corona?"
__1239213014567358464,__1074531936037527552,"Probably providing masks, maybe antibiotics. Referrals to other doctors etc. what are other doctors doing to stop corona anyway?"
__1243637224383614976,__314570392,But the viral pneumonia caused by covid19 is not treatable with antibiotics
__1242447694452477954,__38531995,"As the medical community continues to research the possible use of hydroxychloroquine and Z-Pak antibiotics in the treatment of #covid19, I want to share an important warning: do not take these medications on your own at home."
__1237856120896540674,__1223397450,Is everyone going to be able to afford antibiotics to fight Covid-19? Prescriptions are a right not a privilege or luxury item!
__1221582602215116800,__44269822,Antibiotics treat bacterial infections. Coronavirus is a viral infection. So is the common cold and the flu. That's why you don't need antibiotics for a cold unless you develop a secondary bacterial infection. Those with Coronavirus may develop such an infection though.
__1236677645087186944,__924921596602732544,So now this y'all. I know a lot of you are sick of hearing about #COVID19 and so am I but this virus kills. Antibiotics will not cure this as if it were the flu. So until people stop dying because of this. I'll stay concerned.
__1237763195382702091,__98954121,"Corona virus hack : Lightly coat your nostrils with neosporin .. it’s an antibiotic , so whatever you inhale , will be combatted by the neosporin . You’re welcome ."
__1241940041347334146,__398767889,Ok.. So if #coronavirus is a really bad case of pneumonia why is paracetamol being heavily used in treatment and not antibiotics? Also will those who have taken the pneumococcal and flu vaccines be immune?
__1238306736014065666,__1063252578878803968,"Corona virus ain’t gonna be able to keep Tesla down.....that’s not gonna happen! No more than the Spanish influenza of 1918 could keep Henry Ford’s new company down...and Spanish flu killed 570,000 and also they didn’t have antibiotics then!"
__1235873441556975616,__1124850664037699584,"Jesus, why is Connor Reed all over my timeline today telling people how sick he was? Why are the media channels using words like ‘suffocating’ &amp; ‘terrifying’ to induce more panic? If he was that bad, why not take the antibiotics the hospital prescribed for him? #coronavirus"
__1221581465361629186,__290920331,"Did I read somewhere that Australia ran out of Amoxicillin? If we can’t get supplies of a broad spectrum antibiotic, how can we be the most prepared country to fight the Corona virus?"
__1240453981861810176,__1002967914297913344,Here’s the peer reviewed paper regarding treatment of Covid19 with anti malaria drug and antibiotic.
__1237620559116034048,__1626233197,"Dear Vice President Pence, I along with million of Americans are grateful for all your hard work on this Corona virus crisis. Will any of the money allocated by Congress go towards producing antibiotics by drug companies in the United States?"
__1236231195114868737,__432948865,Question. Why would the Morrison govt stockpile antibiotics when the #coronavirusaus is a virus?
__1238240728737697792,__1919561593,Please do NOT go to your GP convinced antibiotics will kill coronavirus. Many GP's will simply refuse to do the unneeded script. But a number will give in. I can't afford a shortage of antibiotics at this time or any time. I take them almost everyday just to stop hospital visits.
__1232585134676881409,__1010890008067272704,I think we should reflect more on our relationship with animals (especially as food sources) as we learn lessons from #CoronavirusOutbreak. Excessive land use and over exposure of antibiotics are also very real problems caused by our determination to eat cheap meat.
__1241718776170795009,__1013812307263139841,"Here's Why Antibiotics May Give Viruses a Leg Up and (We are wondering about correlation, if any, between high and sustained prior oral antibiotics intake at COVID-19 fatalities/criticalities)"
__1230924094784274432,__521966673,"The virus is far more lethal than first reported. You have top medical experts on the front lines in Wuhan that know they are being exposed, using the most powerful antibiotics, and access to ventilators. They are still dying! Sadly, the tests are not making a difference."
__1244414464197308416,__784575176977608727,"I don't understand why they're not giving sick ppl standard treatments like antibiotics, steroids &amp; cough medicine. There's nothing to suggest it will make COVID-19 worse &amp; it might just help the ppl who don't have the virus get better faster."
__1241484140102455299,__3028658704,"World Health Organisation has said: “The new coronavirus (2019-nCoV) is a virus and, therefore, antibiotics SHOULD NOT be used as a means of prevention or treatment.”"
__1240961222071037952,__14568290,Has anyone studied How Indian habit of widespread use of antibiotics Especially Azithromycin For URI LRI Is one of the factors we see low numbers #Hypothesis #Covid19
__1238127290921431045,__459596563,"People are always afraid of new things. It's the fear of the unknown. Covid-19 is glorified bronchitis with a horrible cold. Stop taking all of the toilet paper, save it for those who ate taco bell for dinner. Get you some antibiotics, steroids and some good ol VICKS. #staywoke"
__1241996089592549376,__976482888882577409,"a family friend was referred to hospital because they thought she had coronavirus. she went in, was told she had a virus and was given antibiotics and sent home. they won't test her because she's not bad enough to be admitted 🤡"
__1239426497422790656,__17036160,I wonder what antibiotic is being given to those that have the corona virus. Anyone? #coronavirus
__1224715230984327168,__163123503,What exactly is a Coronavirus? why don't we have antibiotics to cure that shit?
__1236851401801601025,__211648482,The difference is there is no antibiotics or vaccine for the Coronavirus.
__1223781304363376641,__2830506471,"I’m just gonna laugh at people who say the Corona virus is spreading because Chinese people eat all kinds of meat. Honey, a lot of the animals you are eating were fed antibiotics which will make your body resistant to them. Good luck with the virus :)"
__1233115755362672640,__301863076,We knew that a new coronavirus could cause a global pandemic. And yet we underinvested in the response. We know that drug-resistant bugs could be even more deadly. And yet the development of new antibiotics is badly underfunded. Put money into developing new antibiotics now!
__1230015360746717185,__1222387428813500422,"I know! That is awful I never knew how much of our medicines come from them Depending on where they manufacture our antibiotics we get from them, is there anyone working on them or various other medicines? I mean what if the Coronavirus becomes a pandemic? How screwed would we ve"
__1241014746926759938,__876078712911007744,Not a doctor but powerful antibiotics are being used to treat people with coronavirus. The virus can cause other bacterial infections. See WHO website for details.
__1241606589846622209,__1029728182533058561,Someone posted antibiotics and mentioned she was being treated for Corona. I’m skeptical hangu. Are they treating a virus with antibiotics?
__1239183786279088130,__1223284225635426305,i have the wuhan virus i am 60 years old. my symptoms are shortness of breath fever and cough. i am over the worst of it. i don't smoke i run a goat farm so i'm in good shape for a 60 year old. i did not take antibiotics just cold med's and aspirin for the fever. i'm not dying.
__1221217631681810433,__1165312786370650112,#CoronaOutbreak The truly frightening thing that isn’t being discussed on the news is China over prescribes #antibiotics and some of the strongest on the markets and hand them out like candy. It is highly probable that a super resistant virus will come from China
__1237025992914468865,__1056412284,"If you are diagnosed with COVID-19, what is the treatment? Is it similar to the flu? Rest, fluids and let it take it’s course? Is there an antibiotic? I’m not asking about an elderly person with underlying conditions, just a random otherwise healthy person that tests positive."
__1240616977422417926,__1207634475254865921,Antibiotics can be used as a means of prevention or treatment of #COVID19 ?
__1239077612833714176,__709079954793824256,Last month I had the symptoms of the #coronavirus and ended with pneumonia. I didn't feel well in January for about 2 weeks. That escalated quickly even with 2 different antibiotics &amp; steroids. I felt as bad as I did when I had H1N1. It just sounds the same. #COVID19 #StayHome
__1240019411848880133,__883513039680675840,"Well I finally sucked it up and called my dr., sinus infection, not Coronavirus, waiting to pick up antibiotics now."
__1242930039005392896,__281800967,Antibiotic resistance: the hidden threat lurking behind Covid-19 via
__1241591758154162179,__1188888318265552896,"In India, Azithromycin is commonly used for severe throat infection. Its an anti-biotic medicine whereas corona is a virus. Azithromycin stops rna to protein conversion of bacteria but corona virus use our own cellular system so its impossible to treat with antibiotic i think so!"
__1240856081611382784,__17848543,what kind of antibiotics have people been prescribed for #coronavirus #Covid_19
__1233033351893782529,__2352629311,My legislation will help secure our medical supply chains amid this #coronavirus outbreak. Too many of our vital antibiotics &amp; other drugs are made in #China &amp; facing shortfalls
__1237873411549876224,__2671279038,"Getting you up to speed; antibiotics are not a treatment for viral infs.?Antibiotics are for bacterial infections. Go ahead, ask your doc for antibiotics🤣 Lastly, COVID-19 is not the “fn flu”. Mortality for COVID-19 is greater than flu by magnitudes of 10 and 14-15% for seniors."
__1242811251224457216,__839948922411954176,You can get antibiotics for the flu. There's nothing to cure the coronavirus. So yes the flu is bad but this virus is worse.
